date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:03	6548/6548	---M--	200	added ('OK')	application/x-javascript	etag:%22b407b-1994-560c7ac738e08%22	http://lerative.com/wp-content/themes/vantage/js/jquery.theme-main.min.js?ver=1.6.9	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/themes/vantage/js/jquery.theme-main.min544c.js	(from http://lerative.com/)
14:49:04	1746/1746	---M--	200	added ('OK')	application/x-javascript	etag:%22b4077-6d2-560c7ac72f1c6%22	http://lerative.com/wp-content/themes/vantage/js/jquery.fitvids.min.js?ver=1.0	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/themes/vantage/js/jquery.fitvids.min5152.js	(from http://lerative.com/)
14:49:05	2760/2760	---M--	200	added ('OK')	application/x-javascript	etag:%221cef8013-ac8-560c7ac722e75%22	http://lerative.com/wp-content/themes/vantage/inc/mobilenav/js/mobilenav.min.js?ver=1.6.9	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/themes/vantage/inc/mobilenav/js/mobilenav.min544c.js	(from http://lerative.com/)
14:49:06	1/1	---M--	410	error ('Gone')	text/html	date:Wed,%2027%20Dec%202017%2012:49:06%20GMT	http://lerative.com/xmlrpc.php?rsd	/home/tits/websites/f6s%20mobile/lerative.com/xmlrpc0db0.php	(from http://lerative.com/)
14:49:07	1045/1045	---M--	200	added ('OK')	application/xml	etag:%228008012-415-55cefa5679774%22	http://lerative.com/wp-includes/wlwmanifest.xml	/home/tits/websites/f6s%20mobile/lerative.com/wp-includes/wlwmanifest.xml	(from http://lerative.com/)
14:49:08	62479/62479	---MC-	200	added ('OK')	application/json	date:Wed,%2027%20Dec%202017%2012:49:07%20GMT	http://lerative.com/wp-json/	/home/tits/websites/f6s%20mobile/lerative.com/wp-json/index.html	(from http://lerative.com/)
14:49:09	2140/2140	---MC-	200	added ('OK')	application/json	date:Wed,%2027%20Dec%202017%2012:49:08%20GMT	http://lerative.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flerative.com%2F	/home/tits/websites/f6s%20mobile/lerative.com/wp-json/oembed/1.0/embeda10d.json	(from http://lerative.com/)
14:49:10	2232/2232	---MC-	200	added ('OK')	text/xml	date:Wed,%2027%20Dec%202017%2012:49:09%20GMT	http://lerative.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flerative.com%2F&format=xml	/home/tits/websites/f6s%20mobile/lerative.com/wp-json/oembed/1.0/embedbe49	(from http://lerative.com/)
14:49:10	527/527	---M--	200	added ('OK')	image/png	etag:%22cd9c016-20f-560c73a4827d0%22	http://lerative.com/wp-content/uploads/2017/12/cropped-lerativeRectLogo-32x32.png	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/uploads/2017/12/cropped-lerativeRectLogo-32x32.png	(from http://lerative.com/)
14:49:11	6087/6087	---M--	200	added ('OK')	image/png	etag:%22cd2c008-17c7-560c73a46c83d%22	http://lerative.com/wp-content/uploads/2017/12/cropped-lerativeRectLogo-192x192.png	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/uploads/2017/12/cropped-lerativeRectLogo-192x192.png	(from http://lerative.com/)
14:49:12	16667/16667	---M--	200	added ('OK')	image/png	etag:%22cd9c015-411b-560c73a47d9af%22	http://lerative.com/wp-content/uploads/2017/12/cropped-lerativeRectLogo-180x180.png	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/uploads/2017/12/cropped-lerativeRectLogo-180x180.png	(from http://lerative.com/)
14:49:13	5488/5488	---M--	200	added ('OK')	image/png	etag:%22ce40022-1570-560c74d41530a%22	http://lerative.com/wp-content/uploads/2017/12/lerativeNameLogo-e1513783994180.png	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/uploads/2017/12/lerativeNameLogo-e1513783994180.png	(from http://lerative.com/)
14:49:14	103390/103390	---M--	200	added ('OK')	image/jpeg	etag:%22194fc07d-193de-55e444d3011c9%22	http://lerative.com/wp-content/uploads/2017/11/pexels-photo-256546-1800x600.jpg	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/uploads/2017/11/pexels-photo-256546-1800x600.jpg	(from http://lerative.com/)
14:49:17	22712/22712	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:49:15%20GMT	http://lerative.com/haberler/	/home/tits/websites/f6s%20mobile/lerative.com/haberler/index.html	(from http://lerative.com/)
14:49:18	63016/63016	---M--	200	added ('OK')	image/png	etag:%2218a6801f-f628-55cfce76896de%22	http://lerative.com/wp-content/uploads/2017/11/reader-mockup-1-x2-147x300.png	/home/tits/websites/f6s%20mobile/lerative.com/wp-content/uploads/2017/11/reader-mockup-1-x2-147x300.png	(from http://lerative.com/)
14:49:18	19192/19192	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2012:49:15%20GMT	http://lerative.com/bize-ulasin/	/home/tits/websites/f6s%20mobile/lerative.com/bize-ulasin/index.html	(from http://lerative.com/)
